Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Omarion Hampton 2025 Donruss #303 Press Proof Silver","Raw","-96.04","-$24.00","$24.99","$0.99 (01/18/2026)","$13.35","$0.99","$25.99","0.00","12","$160.21"
"Dalton Knecht 2024 Hoops #247 Premium Lime Green","Raw","-96.02","-$43.21","$45.00","$1.79 (01/21/2026)","$10.97","$1.79","$45.00","0.00","6","$65.81"
"Drake Maye 2024 Select #113 Premier Level Silver","Raw","-96.02","-$54.30","$56.55","$2.25 (02/06/2026)","$12.21","$0.99","$56.55","0.00","463","$5651.85"
"Jaylen Wright 2024 Mosaic #280 NFL Debut - Gold Wave","Raw","-96.00","-$24.96","$26.00","$1.04 (11/01/2025)","$23.50","$1.04","$34.99","0.00","5","$117.52"
"Jacy Sheldon 2024 Prizm WNBA #4 Premium Box Set","Raw","-96.00","-$24.00","$25.00","$1.00 (10/30/2025)","$18.57","$1.00","$25.00","0.00","7","$130.00"
"Michael Penix Jr. 2024 Optic #279 Purple Shock","Raw","-96.00","-$48.00","$50.00","$2.00 (02/06/2026)","$9.61","$0.99","$61.00","0.00","1367","$13137.75"
"Justin Edwards 2023 Topps Chrome McDonald's All-American #PA-JE Paper Autographs","Raw","-96.00","-$23.76","$24.75","$0.99 (01/24/2026)","$14.61","$0.99","$29.99","-78.26","10","$146.07"
"Cameron Brink 2024 Prizm WNBA #143 Rookie Variation","Raw","-96.00","-$47.99","$49.99","$2.00 (02/06/2026)","$3.88","$0.85","$49.99","0.00","1609","$6243.02"
"Jeremiah Fears 2025 Topps Chrome #INS-17 Instinct - Refractor","Raw","-96.00","-$23.99","$24.99","$1.00 (02/05/2026)","$6.42","$0.99","$32.00","0.00","47","$301.72"
"Jarrett Allen 2017 Prizm #154 Green","Raw","-95.99","-$23.95","$24.95","$1.00 (01/13/2026)","$7.29","$1.00","$24.95","133.33","7","$51.00"
"Gradey Dick 2023 Prizm #134 Premium Factory Set","Raw","-95.97","-$29.75","$31.00","$1.25 (11/30/2025)","$15.81","$1.25","$31.00","14.29","8","$126.51"
"Cam Ward 2025 Donruss #1 The Rookies","Raw","-95.96","-$23.51","$24.50","$0.99 (02/06/2026)","$3.31","$0.99","$24.50","0.00","505","$1673.09"
"Roman Wilson 2024 Contenders #124 Rookie Ticket Auto - Divisional Ticket","Raw","-95.96","-$23.51","$24.50","$0.99 (12/15/2025)","$11.67","$0.99","$24.50","0.00","20","$233.33"
"Christian McCaffrey 2024 Select #12 Watercolors","Raw","-95.96","-$510.50","$532.00","$21.50 (11/14/2025)","$83.55","$19.99","$532.00","0.00","9","$751.99"
"Matas Buzelis 2024 Hoops #241 Premium Winter","Raw","-95.95","-$23.47","$24.46","$0.99 (01/22/2026)","$6.46","$0.99","$24.46","0.00","15","$96.92"
"Terrence Shannon Jr. 2024 Prizm #224 White Lazer","Raw","-95.93","-$71.95","$75.00","$3.05 (01/16/2026)","$30.22","$3.05","$75.00","0.00","18","$544.04"
"Cam Ward 2025 Elite #101 Base Rookie","Raw","-95.93","-$129.50","$135.00","$5.50 (02/04/2026)","$35.08","$2.50","$135.00","0.00","188","$6594.40"
"Bronny James Jr. 2024 Donruss #NDA-BJL Next Day","Raw","-95.89","-$36.14","$37.69","$1.55 (12/10/2025)","$23.83","$1.55","$40.00","0.00","17","$405.08"
"Kyrie Irving 2012 Past & Present #99 Rise 'n Shine","Raw","-95.89","-$23.07","$24.06","$0.99 (02/01/2026)","$6.90","$0.99","$24.06","-11.54","23","$158.74"
"Devin Carter 2024 Prizm #231 White Lazer","Raw","-95.88","-$23.01","$24.00","$0.99 (01/25/2026)","$8.81","$0.99","$24.00","0.00","5","$44.03"
"Terrence Shannon Jr. 2024 Prizm #224 Ice","Raw","-95.87","-$28.75","$29.99","$1.24 (01/31/2026)","$4.24","$0.99","$29.99","0.00","111","$470.42"
"Kel'el Ware 2024 Prizm #248 Fast Break Orange","Raw","-95.85","-$98.25","$102.50","$4.25 (12/18/2025)","$41.91","$4.25","$102.50","0.00","17","$712.54"
"Dalton Knecht 2024 Prizm #238 Pulsar","Raw","-95.84","-$52.71","$55.00","$2.29 (02/03/2026)","$11.61","$0.99","$55.00","0.00","58","$673.41"
"Sauce Gardner 2022 Mosaic #335 Pink Camo","Raw","-95.83","-$23.00","$24.00","$1.00 (02/01/2026)","$4.99","$0.99","$37.00","-5.00","19","$94.86"
"JJ McCarthy 2024 Optic #235 Stars","Raw","-95.83","-$115.00","$120.00","$5.00 (02/05/2026)","$32.59","$3.25","$158.00","0.00","209","$6812.20"
"Aidan O'Connell 2023 Select #163 Premier Level Zebra Die-Cut","Raw","-95.83","-$28.75","$30.00","$1.25 (02/05/2026)","$16.58","$1.25","$32.00","133.33","14","$232.08"
"Matthew Golden 2025 Mosaic #285 Rookie Variation - Red","Raw","-95.83","-$28.75","$30.00","$1.25 (01/28/2026)","$7.36","$0.99","$30.00","0.00","10","$73.64"
"Bilal Coulibaly 2023 Prizm Deca #177 Blue","Raw","-95.83","-$34.50","$36.00","$1.50 (12/12/2025)","$16.69","$1.50","$36.00","-10.53","17","$283.73"
"LeBron James 2024 Prizm #5 Talismen - Silver","Raw","-95.83","-$28.75","$30.00","$1.25 (02/05/2026)","$4.23","$0.99","$30.00","0.00","93","$393.69"
"Rob Dillingham 2024 Hoops #238 Silver","Raw","-95.83","-$28.74","$29.99","$1.25 (12/26/2025)","$8.14","$1.25","$29.99","0.00","9","$73.29"
"Jalen Green 2021 Prizm #306 Photo Variation - Silver","Raw","-95.83","-$28.74","$29.99","$1.25 (01/17/2026)","$12.07","$1.25","$34.99","-12.50","7","$84.48"
"Matt Judon 2019 Contenders #153 Rookie Ticket Auto","Raw","-95.83","-$28.74","$29.99","$1.25 (10/19/2025)","$10.68","$1.25","$29.99","-22.22","7","$74.74"
"Yves Missi 2024 Prizm #233 Skewed","Raw","-95.83","-$28.74","$29.99","$1.25 (01/12/2026)","$10.98","$1.00","$29.99","0.00","21","$230.59"
